"location","site","bleach_intensity","X","Y","management","habitat","average.dhw.90days","max.dhw.90days","dip.Statistic.sst","bimodality.coefficient","bimodality.ratio","n.h.spell.events_90Days","avg.high.spell.duration.90days","max.high.spell.duration.90days","avg.high.spell.rise.90days","avg.spell.peak","sd.spell.peak","avg.low.spell.duration.90dys","dhd_mmmplus1","CA1"
"Ankivonjy","Ankivonjy",25.3968254,47.95105,-13.50227778,"no-take","slope",0.761648335,2.959999934,0.045421245,0.620490032,1.217411275,2,6.5,12,0.204999995,29.74555489,0.7091291,3.333333333,0,-0.686286338
"Ankivonjy","Ankazoberavina",53.82395382,47.97822222,-13.48694444,"no-take","slope",0.452197792,1.849999959,0.041420118,0.62564652,1.181519905,2,6.5,12,0.186666663,29.70307626,0.707003629,3.333333333,0,-0.271150102
"Ankivonjy","Kisimani",43.23979592,48.09538889,-13.55894444,"no-take","slope",0.027692307,0.139999997,0.041047189,0.626275487,1.393101889,1,12,12,0.136666663,29.80083267,0.707849862,2.75,0,-0.136182141
"Ankivonjy","Madiro",61.44121365,48.02677778,-13.52205556,"restricted","slope",0.546813175,2.139999952,0.050167223,0.625746496,1.3145205,2,6.5,12,0.199999995,29.76599934,0.689667779,2.75,0,-0.164153801
"Ankivonjy","Ambatomilay",37.78801843,47.80494444,-13.60505556,"restricted","slope",0.682967018,2.799999937,0.059409342,0.626236808,1.041607353,1,12,12,0.167999998,29.78370304,0.636354677,5,0,-1.180625045
"Ankivonjy","Ambatofisaka",46.23376623,47.81102778,-13.60427778,"restricted","slope",0.682967018,2.799999937,0.059409342,0.626236808,1.041607353,1,12,12,0.167999998,29.78370304,0.636354677,5,0,-0.447433792
"Ankivonjy","Marotogny",49.67532468,47.90155556,-13.58105556,"restricted","slope",0.59340658,2.129999952,0.042995838,0.629312414,1.342172469,2,6.5,12,0.169999996,29.71919934,0.713406834,3.333333333,0,-0.452131702
"Soriake","Ankavamifoke",3.921568627,43.27366,-22.65238,"restricted","slope",2.87472521,6.019999865,0.023286238,0.63758939,6.339471604,5,2.4,7,0.347777772,29.91952314,0.70660791,5.5,0,0.525474456
"Soriake","SalaryN2",34.48979592,43.2573,-22.6229,"no-take","slope",0.752527456,1.899999958,0.032967033,0.470308294,0,3,4,8,0.301249993,29.78299934,0.515701859,5,0,-0.356546978
"Soriake","Bekodoy",28.57142857,43.24406,-22.52076,"no-take","slope",0.742967016,1.629999964,0.020979021,0.440212803,12.91074494,2,6,9,0.269999994,29.77649933,0.481065418,5,0,0.020538575
"Soriake","Bekodoy",37.76908023,43.24406,-22.52076,"no-take","slope",1.848131827,3.819999915,0.027149323,0.557058649,19.83211909,3,5.666666667,8,0.266999993,29.8886357,0.70365233,5,0,-0.317736437
"Soriake","Salary N2",24.90842491,43.243,-22.53797,"restricted","slope",0.742967016,1.629999964,0.020979021,0.440212803,12.91074494,2,6,9,0.269999994,29.77649933,0.481065418,5,0,0.351721285
"Soriake","Andravona",24.3697479,43.23796,-22.44588,"no-take","slope",0.651208777,1.409999968,0.023423944,0.413486059,12.73009009,2,6.5,9,0.259999995,29.68105197,0.718230022,3.333333333,0,0.568378586
"Soriake","Andravona",33.33333333,43.23638,-22.46936,"restricted","slope",0.166483513,0.299999993,0.021978024,0.428504551,12.29473135,2,5.5,9,0.272857137,29.66047553,0.707060633,3.333333333,0,0.083776861
"Soriake","Tsandamba",40.81632653,43.33463,-22.78652,"open","slope",2.359999947,8.129999818,0.025248561,0.508094031,14.84686755,4,3.25,8,0.319999993,29.686666,0.641695655,3.333333333,0,-0.658193411
"Soriake","Tsandamba",45.63492063,43.31625,-22.73958,"restricted","slope",1.925274682,6.739999849,0.021367522,0.490862698,12.92214467,4,3.25,8,0.361249993,29.66590843,0.66835731,3.333333333,0,-0.32830281
"Soriake","SalaryN1",39.61038961,43.25129,-22.60613,"restricted","slope",0.820219762,2.21999995,0.032967033,0.457889894,12.02791404,4,3.25,8,0.292222214,29.81047552,0.518174438,2.5,0,0.107243005
"Soriake","Andravona",21.21640736,43.23909,-22.44011,"restricted","slope",0.687142842,1.709999962,0.024354025,0.415706402,12.85873357,3,4.333333333,9,0.22555555,29.69052565,0.725629778,2.5,0,0.348660446
